"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code","region_id"
"2026-08-26T04:40:16","PIB:Station:1678","Open Mon-Fre 07:00 - 18:00 In der Velostation Schanzenbrücke - Bern",46.949234,7.436812,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1679","Speichergasse - Bern",46.9497,7.4444094,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1680","Waisenhausplatz - Bern",46.94908,7.444436,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1681","Bundesgasse - Bern",46.946606,7.441624,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1682","Casinoplatz - Bern",46.946518,7.448146,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1683","Theaterplatz - Bern",46.947598,7.44735,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1684","Kornhausplatz - Bern",46.94881,7.447638,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1685","Simsonbrunnen - Bern",46.948044,7.4502387,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1686","Postgasse - Bern",46.948677,7.4532714,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1687","Münster - Bern",46.947433,7.4522824,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1688","Mattelift - Bern",46.946465,7.452518,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1689","Schifflaube - Bern",46.94651,7.4550486,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1690","Nydegg - Bern",46.948635,7.4567423,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1691","Bahnhofplatz - Bern",46.94835,7.440534,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1692","Velostation PostParc - Bern",46.94794,7.438115,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1693","Wallgasse - Bern",46.94626,7.438039,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1694","Predigergasse - Bern",46.94917,7.4459267,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1695","Junkerngasse - Bern",46.947792,7.454057,50,NA,NA,"PIB:Region:44"
"2026-08-26T04:40:16","PIB:Station:1696","Bollwerk - Bern",46.951706,7.442115,50,NA,NA,"PIB:Region:44"
