"weather_station_abbr","weather_station_name","weather_lat","weather_lon"
"TAE","Aadorf / Tänikon",47.479892,8.904928
"THU","Thun",46.749853,7.585222
"TIT","Titlis",46.770608,8.425981
"UEB","Uetliberg",47.351364,8.490225
"ULR","Ulrichen",46.504881,8.308236
"VAB","Valbella",46.755039,9.554433
"VAD","Vaduz",47.127472,9.517578
"VEV","Vevey / Corseaux",46.471239,6.815056
"VIO","Vicosoprano",46.353019,9.6278
"VIS","Visp",46.3029,7.842958
"VIT","Villars-Tiercelin",46.621778,6.710069
"VLS","Vals",46.627758,9.188711
"WAE","Wädenswil",47.220958,8.677706
"WFJ","Weissfluhjoch",46.833342,9.806397
"WYN","Wynau",47.255025,7.787475
"ZER","Zermatt",46.029272,7.752433
