"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code","region_id"
"2026-09-20T15:40:54","PIB:Station:1763","Bahnhof Weissenbühl - Bern",46.936016,7.4300632,50,"","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1764","Zieglerspital - Bern",46.93202,7.4330454,50,"Morillonstrasse 86","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1765","Schule Brunnmatt - Bern",46.945805,7.4270434,50,"Brunnmattstrasse 16b","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1766","Cäcilienplatz - Bern",46.94167,7.425978,50,"Brunnmattstrasse 55","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1767","Fischermätteli - Bern",46.940598,7.4187355,50,"Könizstrasse 73a","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1768","Kirchbergerstrasse - Bern",46.938847,7.4210806,50,"Kirchbergerstrasse 39","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1769","Sporthalle Weissenstein - Bern",46.937103,7.4178247,50,"Hardeggerstrasse 2a","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1770","Friedbühlstrasse - Bern",46.94801,7.4218926,50,"Friedbühlstrasse 25","3010","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1771","Loryplatz - Bern",46.94467,7.4223027,50,"12 111","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1772","Schenkstrasse - Bern",46.945877,7.4154887,50,"Huberstrasse 4","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1773","Stämpflistrasse - Bern",46.94325,7.4146013,50,"Stoossstrasse 2","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1774","Steigerhubel - Bern",46.944027,7.412034,50,"Schlossstrasse 116","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1775","Europaplatz Süd - Bern",46.9436,7.407175,50,"12 100","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1776","Zieglerstrasse - Bern",46.94297,7.430233,50,"Zieglerstrasse 62","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1777","Murtenstrasse Sanpol - Bern",46.950302,7.4145646,50,"Murtenstrasse 111","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1778","Schwarztorstrasse - Bern",46.944607,7.429096,50,"Schwarztorstrasse 70","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1779","Seilerstrasse - Bern",46.945595,7.434686,50,"Seilerstrasse 21","3011","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1780","Insel Haupteingang - Bern",46.947556,7.426697,50,"Freiburgstrasse 8","3010","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1781","Kleine Schanze - Bern",46.945976,7.4394174,50,"Taubenstrasse 6","3011","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1782","Insel West - Bern",46.946545,7.420781,50,"Friedbühlstrasse 70","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1784","Weberstrasse - Bern",46.939865,7.425097,50,"Weberstrasse 25","3007","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1785","Güterstrasse - Bern",46.947525,7.4168797,50,"Güterstrasse 18","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1786","Velostation Welle 7 - Bern",46.94779,7.4363356,50,"Schanzenstrasse 5","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1790","Lorystrasse - Bern",46.945095,7.418358,50,"Lorystrasse 12","3008","PIB:Region:41"
"2026-09-20T15:40:54","PIB:Station:1791","Dübystrasse - Bern",46.936436,7.4247994,50,"Dübystrasse 41","3008","PIB:Region:41"
