"fetched_at_utc","station_id","name","lat","lon","capacity","address","post_code"
"2026-08-24T14:40:39","PIB:Station:2134","LIGHT - Via Corporazioni - Ticino - Locarno",46.169975,8.793002,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2135","LIGHT - Parco giochi San Jorio - Ticino - Locarno",46.166435,8.78305,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2136","Regensdorf - Industrie - Zürich",47.44472,8.462,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2137","Regensdorf - Laubisser - Zürich",47.449337,8.473054,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2138","Rheinfelden (CH) Rathaus - Hochrhein - Basel",47.555176,7.794384,25,"",NA
"2026-08-24T14:40:39","PIB:Station:2139","Rheinfelden (CH) Bahnhof - Hochrhein - Basel",47.551517,7.792436,25,"",NA
"2026-08-24T14:40:39","PIB:Station:2142","Militär- / Langstrasse - Zürich",47.379745,8.526806,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2143","Güterbahnhof - Zürich",47.380066,8.519535,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2144","Dolder - Zürich",47.375942,8.577554,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2145","Himmeri - Zürich",47.420425,8.538882,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2146","Hagenholz - Zürich",47.415276,8.562871,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2147","LIGHT - Centro sportivo - Ticino - Balerna",45.840958,9.013044,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2148","LIGHT - Pian Faloppia - Ticino - Balerna",45.836445,9.008309,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2149","LIGHT - Lungolago - Ticino - Muralto",46.17132,8.8018265,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2150","LIGHT - Cimitero  - Ticino - Muralto",46.173462,8.807064,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2151","LIGHT - Migros - Ticino - Minusio",46.17537,8.810836,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2153","LIGHT - Esplanade - Ticino - Minusio",46.18,8.822404,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2154","LIGHT - Scuole Vignascia - Ticino - Minusio",46.177105,8.824473,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2156","Stein Bahnhof - Hochrhein - Basel",47.54215,7.9500484,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2158","Cimitero/Gerra - Ticino - Lugano",46.020515,8.958285,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2159","Laufenburg (CH) Bahnhofplatz - Hochrhein - Basel",47.56007,8.061062,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2160","Eyfeld - Ittigen - Bern",46.971947,7.4744816,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2163","Rheinfelden (CH) Brauerei Feldschlösschen - Hochrhein - Basel",47.54705,7.7863607,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2166","LIGHT - Teatro del Gatto - Ticino - Ascona",46.154198,8.775121,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2167","LIGHT - Collinetta - Ticino - Ascona",46.156982,8.765745,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2168","LIGHT - Lungolago - Ticino - Ascona",46.15483,8.766963,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2169","LIGHT - Posta - Ticino - Ascona",46.156517,8.768971,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2171","LIGHT - Siberia - Ticino - Ascona",46.162228,8.7710495,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2172","LIGHT - La Fabbrica - Ticino - Losone",46.166153,8.766149,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2173","LIGHT - HUB Bus Sottochiesa - Ticino - Losone",46.16966,8.760143,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2174","LIGHT - Scuole - Ticino - Cugnasco-Gerra",46.176327,8.917176,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2175","LIGHT - Chiesa Cugnasco - Ticino - Cugnasco-Gerra",46.174408,8.917742,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2176","LIGHT - Centro Sportivo Cugnasco - Ticino - Locarno",46.168705,8.910288,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2177","LIGHT - Alla Bolla - Ticino - Locarno",46.17488,8.891579,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2178","LIGHT - Via Stazione - Ticino - Tenero",46.179504,8.849292,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2179","LIGHT - Centro Commerciale - Ticino – Tenero",46.17495,8.856026,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2180","Brunaubrücke - Zürich",47.352192,8.523973,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2181","Réseau hospitalier neuchâtelois - La Chaux-de-Fonds",47.11369,6.831227,40,"",NA
"2026-08-24T14:40:39","PIB:Station:2182","Impasse du Castel - Fribourg/Freiburg",46.816685,7.1747336,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2183","Bonnesfontaines - Fribourg/Freiburg",46.813377,7.143848,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2184","Guintzet - Fribourg/Freiburg",46.805508,7.140564,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2185","Centre horticole, Sion - Agglo Valais central - Sion",46.242657,7.4183836,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2186","Chapelle d'Uvrier, Sion - Agglo Valais central - Sion",46.25064,7.412855,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2187","Piscine de la Blancherie, Sion - Agglo Valais central - Sion",46.224308,7.355424,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2188","Archipel, Sion - Agglo Valais central - Sion",46.22817,7.3681664,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2189","RealFly, Sion - Agglo Valais central - Sion",46.219788,7.352295,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2192","Area di Svago - Ticino - Cadenazzo",46.149487,8.946251,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2193","LIGHT - Vira Piazzale Pitzker - Ticino - Gambarogno",46.144318,8.8424225,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2194","LIGHT - Contone Piazza - Ticino - Gambarogno",46.14835,8.925884,8,"",NA
"2026-08-24T14:40:39","PIB:Station:2195","Auge, Pont de Berne - Fribourg/Freiburg",46.804565,7.169452,15,"",NA
"2026-08-24T14:40:39","PIB:Station:2196","Strandbad - Bern - Moosseedorf",47.01896,7.4868264,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2197","Kirchlindach Dorfzentrum - Bern - Kirchlindach",47.000202,7.4153414,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2198","Flössergasse - Zürich",47.369118,8.532174,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2199","CPNE-AA Arts Appliqués - La Chaux-de-Fonds",47.101654,6.8238125,10,"",NA
"2026-08-24T14:40:39","PIB:Station:2200","Bolligen Bahnhof - Bern - Bolligen",46.970627,7.4963894,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2201","Reberhaus - Bern - Bolligen",46.97426,7.495913,50,"",NA
"2026-08-24T14:40:39","PIB:Station:2202","Marly - Château d'Eau - Fribourg/Freiburg",46.781498,7.16048,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2203","Villars-sur-Glâne - Villars‑Vert - Fribourg/Freiburg",46.800156,7.129571,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2204","Matran - Champ-Riond - Fribourg/Freiburg",46.788307,7.1033487,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2205","Rathaus - Zürich",47.372498,8.542856,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2206","Hungerbergstrasse - Zürich",47.421146,8.500199,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2208","Test Station update Fitness - Aarau",47.398888,8.0431,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2209","Test Station Regimo Dammweg - Aarau",47.384983,8.030917,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2210","Test Station Regimo Mühlemattweg - Aarau",47.37851,8.08052,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2211","Test Station Regimo Sämisweidstrasse - Aarau",47.370808,8.0440035,30,"",NA
"2026-08-24T14:40:39","PIB:Station:2212","LIGHT - Campo Sportivo - Ticino - Coldrerio",45.853905,8.989057,8,"",NA
